model_raw,model,family,tokenizer_repo,language,fertility_tokens_per_character,english_fertility_tokens_per_character,normalized_fertility,n_matched_questions,token_count,non_whitespace_character_count,english_token_count,english_non_whitespace_character_count
vllm/Qwen/Qwen2.5-1.5B-Instruct,Qwen2.5-1.5B-Instruct,Qwen2.5,Qwen/Qwen2.5-1.5B-Instruct,dan,0.4247255749267372,0.3110715194706032,1.3653631025095323,100,8551,20133,6111,19645
vllm/Qwen/Qwen2.5-1.5B-Instruct,Qwen2.5-1.5B-Instruct,Qwen2.5,Qwen/Qwen2.5-1.5B-Instruct,nob,0.4228127350213086,0.3110715194706032,1.3592139059881538,100,8433,19945,6111,19645
vllm/Qwen/Qwen2.5-1.5B-Instruct,Qwen2.5-1.5B-Instruct,Qwen2.5,Qwen/Qwen2.5-1.5B-Instruct,isl,0.5450484341201919,0.3110715194706032,1.7521643737998969,100,11591,21266,6111,19645
vllm/Qwen/Qwen2.5-1.5B-Instruct,Qwen2.5-1.5B-Instruct,Qwen2.5,Qwen/Qwen2.5-1.5B-Instruct,ara,0.5197614136796923,0.3110715194706032,1.6708743203628793,100,9324,17939,6111,19645
vllm/Qwen/Qwen2.5-1.5B-Instruct,Qwen2.5-1.5B-Instruct,Qwen2.5,Qwen/Qwen2.5-1.5B-Instruct,est,0.4884087994475683,0.3110715194706032,1.5700852340283882,100,9902,20274,6111,19645
vllm/Qwen/Qwen2.5-1.5B-Instruct,Qwen2.5-1.5B-Instruct,Qwen2.5,Qwen/Qwen2.5-1.5B-Instruct,hin,1.1958312405826217,0.3110715194706032,3.844232485885388,100,23809,19910,6111,19645
vllm/Qwen/Qwen2.5-1.5B-Instruct,Qwen2.5-1.5B-Instruct,Qwen2.5,Qwen/Qwen2.5-1.5B-Instruct,jpn,0.7281824738550307,0.3110715194706032,2.340884421352001,100,8077,11092,6111,19645
vllm/Qwen/Qwen2.5-1.5B-Instruct,Qwen2.5-1.5B-Instruct,Qwen2.5,Qwen/Qwen2.5-1.5B-Instruct,mar,1.1631330432367373,0.3110715194706032,3.7391177604951245,100,25126,21602,6111,19645
vllm/Qwen/Qwen2.5-1.5B-Instruct,Qwen2.5-1.5B-Instruct,Qwen2.5,Qwen/Qwen2.5-1.5B-Instruct,nld,0.39352324394543936,0.3110715194706032,1.2650571309618976,100,8482,21554,6111,19645
vllm/Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B-Instruct,Qwen2.5,Qwen/Qwen2.5-3B-Instruct,zho,0.9554681552905354,0.3110715194706032,3.071538522448465,100,7531,7882,6111,19645
vllm/Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B-Instruct,Qwen2.5,Qwen/Qwen2.5-3B-Instruct,eng,0.3110715194706032,0.3110715194706032,1.0,100,6111,19645,6111,19645
vllm/Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B-Instruct,Qwen2.5,Qwen/Qwen2.5-3B-Instruct,eng_metric,0.31027687954729183,0.3110715194706032,0.9974454751606199,100,6141,19792,6111,19645
vllm/Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B-Instruct,Qwen2.5,Qwen/Qwen2.5-3B-Instruct,rus,0.4443868901864758,0.3110715194706032,1.4285682306845553,100,9437,21236,6111,19645
vllm/Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B-Instruct,Qwen2.5,Qwen/Qwen2.5-3B-Instruct,deu,0.36802278999376836,0.3110715194706032,1.1830809539236753,100,8268,22466,6111,19645
vllm/Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B-Instruct,Qwen2.5,Qwen/Qwen2.5-3B-Instruct,fra,0.372296302903269,0.3110715194706032,1.1968189937055669,100,8348,22423,6111,19645
vllm/Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B-Instruct,Qwen2.5,Qwen/Qwen2.5-3B-Instruct,ita,0.3917287089159252,0.3110715194706032,1.2592882485114305,100,8629,22028,6111,19645
vllm/Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B-Instruct,Qwen2.5,Qwen/Qwen2.5-3B-Instruct,ukr,0.6400336810590822,0.3110715194706032,2.057512954411008,100,13682,21377,6111,19645
vllm/Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B-Instruct,Qwen2.5,Qwen/Qwen2.5-3B-Instruct,dan,0.4247255749267372,0.3110715194706032,1.3653631025095323,100,8551,20133,6111,19645
vllm/Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B-Instruct,Qwen2.5,Qwen/Qwen2.5-3B-Instruct,nob,0.4228127350213086,0.3110715194706032,1.3592139059881538,100,8433,19945,6111,19645
vllm/Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B-Instruct,Qwen2.5,Qwen/Qwen2.5-3B-Instruct,isl,0.5450484341201919,0.3110715194706032,1.7521643737998969,100,11591,21266,6111,19645
vllm/Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B-Instruct,Qwen2.5,Qwen/Qwen2.5-3B-Instruct,ara,0.5197614136796923,0.3110715194706032,1.6708743203628793,100,9324,17939,6111,19645
vllm/Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B-Instruct,Qwen2.5,Qwen/Qwen2.5-3B-Instruct,est,0.4884087994475683,0.3110715194706032,1.5700852340283882,100,9902,20274,6111,19645
vllm/Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B-Instruct,Qwen2.5,Qwen/Qwen2.5-3B-Instruct,hin,1.1958312405826217,0.3110715194706032,3.844232485885388,100,23809,19910,6111,19645
vllm/Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B-Instruct,Qwen2.5,Qwen/Qwen2.5-3B-Instruct,jpn,0.7281824738550307,0.3110715194706032,2.340884421352001,100,8077,11092,6111,19645
vllm/Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B-Instruct,Qwen2.5,Qwen/Qwen2.5-3B-Instruct,mar,1.1631330432367373,0.3110715194706032,3.7391177604951245,100,25126,21602,6111,19645
vllm/Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B-Instruct,Qwen2.5,Qwen/Qwen2.5-3B-Instruct,nld,0.39352324394543936,0.3110715194706032,1.2650571309618976,100,8482,21554,6111,19645
vllm/Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,Qwen2.5,Qwen/Qwen2.5-7B-Instruct,zho,0.9554681552905354,0.3110715194706032,3.071538522448465,100,7531,7882,6111,19645
vllm/Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,Qwen2.5,Qwen/Qwen2.5-7B-Instruct,eng,0.3110715194706032,0.3110715194706032,1.0,100,6111,19645,6111,19645
vllm/Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,Qwen2.5,Qwen/Qwen2.5-7B-Instruct,eng_metric,0.31027687954729183,0.3110715194706032,0.9974454751606199,100,6141,19792,6111,19645
vllm/Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,Qwen2.5,Qwen/Qwen2.5-7B-Instruct,rus,0.4443868901864758,0.3110715194706032,1.4285682306845553,100,9437,21236,6111,19645
vllm/Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,Qwen2.5,Qwen/Qwen2.5-7B-Instruct,deu,0.36802278999376836,0.3110715194706032,1.1830809539236753,100,8268,22466,6111,19645
vllm/Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,Qwen2.5,Qwen/Qwen2.5-7B-Instruct,fra,0.372296302903269,0.3110715194706032,1.1968189937055669,100,8348,22423,6111,19645
vllm/Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,Qwen2.5,Qwen/Qwen2.5-7B-Instruct,ita,0.3917287089159252,0.3110715194706032,1.2592882485114305,100,8629,22028,6111,19645
vllm/Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,Qwen2.5,Qwen/Qwen2.5-7B-Instruct,ukr,0.6400336810590822,0.3110715194706032,2.057512954411008,100,13682,21377,6111,19645
vllm/Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,Qwen2.5,Qwen/Qwen2.5-7B-Instruct,dan,0.4247255749267372,0.3110715194706032,1.3653631025095323,100,8551,20133,6111,19645
vllm/Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,Qwen2.5,Qwen/Qwen2.5-7B-Instruct,nob,0.4228127350213086,0.3110715194706032,1.3592139059881538,100,8433,19945,6111,19645
vllm/Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,Qwen2.5,Qwen/Qwen2.5-7B-Instruct,isl,0.5450484341201919,0.3110715194706032,1.7521643737998969,100,11591,21266,6111,19645
vllm/Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,Qwen2.5,Qwen/Qwen2.5-7B-Instruct,ara,0.5197614136796923,0.3110715194706032,1.6708743203628793,100,9324,17939,6111,19645
vllm/Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,Qwen2.5,Qwen/Qwen2.5-7B-Instruct,est,0.4884087994475683,0.3110715194706032,1.5700852340283882,100,9902,20274,6111,19645
vllm/Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,Qwen2.5,Qwen/Qwen2.5-7B-Instruct,hin,1.1958312405826217,0.3110715194706032,3.844232485885388,100,23809,19910,6111,19645
vllm/Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,Qwen2.5,Qwen/Qwen2.5-7B-Instruct,jpn,0.7281824738550307,0.3110715194706032,2.340884421352001,100,8077,11092,6111,19645
vllm/Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,Qwen2.5,Qwen/Qwen2.5-7B-Instruct,mar,1.1631330432367373,0.3110715194706032,3.7391177604951245,100,25126,21602,6111,19645
vllm/Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,Qwen2.5,Qwen/Qwen2.5-7B-Instruct,nld,0.39352324394543936,0.3110715194706032,1.2650571309618976,100,8482,21554,6111,19645
vllm/Qwen/Qwen2.5-14B-Instruct,Qwen2.5-14B-Instruct,Qwen2.5,Qwen/Qwen2.5-14B-Instruct,zho,0.9554681552905354,0.3110715194706032,3.071538522448465,100,7531,7882,6111,19645
vllm/Qwen/Qwen2.5-14B-Instruct,Qwen2.5-14B-Instruct,Qwen2.5,Qwen/Qwen2.5-14B-Instruct,eng,0.3110715194706032,0.3110715194706032,1.0,100,6111,19645,6111,19645
vllm/Qwen/Qwen2.5-14B-Instruct,Qwen2.5-14B-Instruct,Qwen2.5,Qwen/Qwen2.5-14B-Instruct,eng_metric,0.31027687954729183,0.3110715194706032,0.9974454751606199,100,6141,19792,6111,19645
vllm/Qwen/Qwen2.5-14B-Instruct,Qwen2.5-14B-Instruct,Qwen2.5,Qwen/Qwen2.5-14B-Instruct,rus,0.4443868901864758,0.3110715194706032,1.4285682306845553,100,9437,21236,6111,19645
vllm/Qwen/Qwen2.5-14B-Instruct,Qwen2.5-14B-Instruct,Qwen2.5,Qwen/Qwen2.5-14B-Instruct,deu,0.36802278999376836,0.3110715194706032,1.1830809539236753,100,8268,22466,6111,19645
vllm/Qwen/Qwen2.5-14B-Instruct,Qwen2.5-14B-Instruct,Qwen2.5,Qwen/Qwen2.5-14B-Instruct,fra,0.372296302903269,0.3110715194706032,1.1968189937055669,100,8348,22423,6111,19645
vllm/Qwen/Qwen2.5-14B-Instruct,Qwen2.5-14B-Instruct,Qwen2.5,Qwen/Qwen2.5-14B-Instruct,ita,0.3917287089159252,0.3110715194706032,1.2592882485114305,100,8629,22028,6111,19645
vllm/Qwen/Qwen2.5-14B-Instruct,Qwen2.5-14B-Instruct,Qwen2.5,Qwen/Qwen2.5-14B-Instruct,ukr,0.6400336810590822,0.3110715194706032,2.057512954411008,100,13682,21377,6111,19645
vllm/Qwen/Qwen2.5-14B-Instruct,Qwen2.5-14B-Instruct,Qwen2.5,Qwen/Qwen2.5-14B-Instruct,dan,0.4247255749267372,0.3110715194706032,1.3653631025095323,100,8551,20133,6111,19645
vllm/Qwen/Qwen2.5-14B-Instruct,Qwen2.5-14B-Instruct,Qwen2.5,Qwen/Qwen2.5-14B-Instruct,nob,0.4228127350213086,0.3110715194706032,1.3592139059881538,100,8433,19945,6111,19645
vllm/Qwen/Qwen2.5-14B-Instruct,Qwen2.5-14B-Instruct,Qwen2.5,Qwen/Qwen2.5-14B-Instruct,isl,0.5450484341201919,0.3110715194706032,1.7521643737998969,100,11591,21266,6111,19645
vllm/Qwen/Qwen2.5-14B-Instruct,Qwen2.5-14B-Instruct,Qwen2.5,Qwen/Qwen2.5-14B-Instruct,ara,0.5197614136796923,0.3110715194706032,1.6708743203628793,100,9324,17939,6111,19645
vllm/Qwen/Qwen2.5-14B-Instruct,Qwen2.5-14B-Instruct,Qwen2.5,Qwen/Qwen2.5-14B-Instruct,est,0.4884087994475683,0.3110715194706032,1.5700852340283882,100,9902,20274,6111,19645
vllm/Qwen/Qwen2.5-14B-Instruct,Qwen2.5-14B-Instruct,Qwen2.5,Qwen/Qwen2.5-14B-Instruct,hin,1.1958312405826217,0.3110715194706032,3.844232485885388,100,23809,19910,6111,19645
vllm/Qwen/Qwen2.5-14B-Instruct,Qwen2.5-14B-Instruct,Qwen2.5,Qwen/Qwen2.5-14B-Instruct,jpn,0.7281824738550307,0.3110715194706032,2.340884421352001,100,8077,11092,6111,19645
vllm/Qwen/Qwen2.5-14B-Instruct,Qwen2.5-14B-Instruct,Qwen2.5,Qwen/Qwen2.5-14B-Instruct,mar,1.1631330432367373,0.3110715194706032,3.7391177604951245,100,25126,21602,6111,19645
vllm/Qwen/Qwen2.5-14B-Instruct,Qwen2.5-14B-Instruct,Qwen2.5,Qwen/Qwen2.5-14B-Instruct,nld,0.39352324394543936,0.3110715194706032,1.2650571309618976,100,8482,21554,6111,19645
vllm/Qwen/Qwen2.5-32B-Instruct,Qwen2.5-32B-Instruct,Qwen2.5,Qwen/Qwen2.5-32B-Instruct,zho,0.9554681552905354,0.3110715194706032,3.071538522448465,100,7531,7882,6111,19645
vllm/Qwen/Qwen2.5-32B-Instruct,Qwen2.5-32B-Instruct,Qwen2.5,Qwen/Qwen2.5-32B-Instruct,eng,0.3110715194706032,0.3110715194706032,1.0,100,6111,19645,6111,19645
vllm/Qwen/Qwen2.5-32B-Instruct,Qwen2.5-32B-Instruct,Qwen2.5,Qwen/Qwen2.5-32B-Instruct,eng_metric,0.31027687954729183,0.3110715194706032,0.9974454751606199,100,6141,19792,6111,19645
vllm/Qwen/Qwen2.5-32B-Instruct,Qwen2.5-32B-Instruct,Qwen2.5,Qwen/Qwen2.5-32B-Instruct,rus,0.4443868901864758,0.3110715194706032,1.4285682306845553,100,9437,21236,6111,19645
vllm/Qwen/Qwen2.5-32B-Instruct,Qwen2.5-32B-Instruct,Qwen2.5,Qwen/Qwen2.5-32B-Instruct,deu,0.36802278999376836,0.3110715194706032,1.1830809539236753,100,8268,22466,6111,19645
vllm/Qwen/Qwen2.5-32B-Instruct,Qwen2.5-32B-Instruct,Qwen2.5,Qwen/Qwen2.5-32B-Instruct,fra,0.372296302903269,0.3110715194706032,1.1968189937055669,100,8348,22423,6111,19645
vllm/Qwen/Qwen2.5-32B-Instruct,Qwen2.5-32B-Instruct,Qwen2.5,Qwen/Qwen2.5-32B-Instruct,ita,0.3917287089159252,0.3110715194706032,1.2592882485114305,100,8629,22028,6111,19645
vllm/Qwen/Qwen2.5-32B-Instruct,Qwen2.5-32B-Instruct,Qwen2.5,Qwen/Qwen2.5-32B-Instruct,ukr,0.6400336810590822,0.3110715194706032,2.057512954411008,100,13682,21377,6111,19645
vllm/Qwen/Qwen2.5-32B-Instruct,Qwen2.5-32B-Instruct,Qwen2.5,Qwen/Qwen2.5-32B-Instruct,dan,0.4247255749267372,0.3110715194706032,1.3653631025095323,100,8551,20133,6111,19645
vllm/Qwen/Qwen2.5-32B-Instruct,Qwen2.5-32B-Instruct,Qwen2.5,Qwen/Qwen2.5-32B-Instruct,nob,0.4228127350213086,0.3110715194706032,1.3592139059881538,100,8433,19945,6111,19645
vllm/Qwen/Qwen2.5-32B-Instruct,Qwen2.5-32B-Instruct,Qwen2.5,Qwen/Qwen2.5-32B-Instruct,isl,0.5450484341201919,0.3110715194706032,1.7521643737998969,100,11591,21266,6111,19645
vllm/Qwen/Qwen2.5-32B-Instruct,Qwen2.5-32B-Instruct,Qwen2.5,Qwen/Qwen2.5-32B-Instruct,ara,0.5197614136796923,0.3110715194706032,1.6708743203628793,100,9324,17939,6111,19645
vllm/Qwen/Qwen2.5-32B-Instruct,Qwen2.5-32B-Instruct,Qwen2.5,Qwen/Qwen2.5-32B-Instruct,est,0.4884087994475683,0.3110715194706032,1.5700852340283882,100,9902,20274,6111,19645
vllm/Qwen/Qwen2.5-32B-Instruct,Qwen2.5-32B-Instruct,Qwen2.5,Qwen/Qwen2.5-32B-Instruct,hin,1.1958312405826217,0.3110715194706032,3.844232485885388,100,23809,19910,6111,19645
vllm/Qwen/Qwen2.5-32B-Instruct,Qwen2.5-32B-Instruct,Qwen2.5,Qwen/Qwen2.5-32B-Instruct,jpn,0.7281824738550307,0.3110715194706032,2.340884421352001,100,8077,11092,6111,19645
vllm/Qwen/Qwen2.5-32B-Instruct,Qwen2.5-32B-Instruct,Qwen2.5,Qwen/Qwen2.5-32B-Instruct,mar,1.1631330432367373,0.3110715194706032,3.7391177604951245,100,25126,21602,6111,19645
vllm/Qwen/Qwen2.5-32B-Instruct,Qwen2.5-32B-Instruct,Qwen2.5,Qwen/Qwen2.5-32B-Instruct,nld,0.39352324394543936,0.3110715194706032,1.2650571309618976,100,8482,21554,6111,19645
vllm/Qwen/Qwen2.5-72B-Instruct,Qwen2.5-72B-Instruct,Qwen2.5,Qwen/Qwen2.5-72B-Instruct,zho,0.9554681552905354,0.3110715194706032,3.071538522448465,100,7531,7882,6111,19645
vllm/Qwen/Qwen2.5-72B-Instruct,Qwen2.5-72B-Instruct,Qwen2.5,Qwen/Qwen2.5-72B-Instruct,eng,0.3110715194706032,0.3110715194706032,1.0,100,6111,19645,6111,19645
vllm/Qwen/Qwen2.5-72B-Instruct,Qwen2.5-72B-Instruct,Qwen2.5,Qwen/Qwen2.5-72B-Instruct,eng_metric,0.31027687954729183,0.3110715194706032,0.9974454751606199,100,6141,19792,6111,19645
vllm/Qwen/Qwen2.5-72B-Instruct,Qwen2.5-72B-Instruct,Qwen2.5,Qwen/Qwen2.5-72B-Instruct,rus,0.4443868901864758,0.3110715194706032,1.4285682306845553,100,9437,21236,6111,19645
vllm/Qwen/Qwen2.5-72B-Instruct,Qwen2.5-72B-Instruct,Qwen2.5,Qwen/Qwen2.5-72B-Instruct,deu,0.36802278999376836,0.3110715194706032,1.1830809539236753,100,8268,22466,6111,19645
vllm/Qwen/Qwen2.5-72B-Instruct,Qwen2.5-72B-Instruct,Qwen2.5,Qwen/Qwen2.5-72B-Instruct,fra,0.372296302903269,0.3110715194706032,1.1968189937055669,100,8348,22423,6111,19645
vllm/Qwen/Qwen2.5-72B-Instruct,Qwen2.5-72B-Instruct,Qwen2.5,Qwen/Qwen2.5-72B-Instruct,ita,0.3917287089159252,0.3110715194706032,1.2592882485114305,100,8629,22028,6111,19645
vllm/Qwen/Qwen2.5-72B-Instruct,Qwen2.5-72B-Instruct,Qwen2.5,Qwen/Qwen2.5-72B-Instruct,ukr,0.6400336810590822,0.3110715194706032,2.057512954411008,100,13682,21377,6111,19645
vllm/Qwen/Qwen2.5-72B-Instruct,Qwen2.5-72B-Instruct,Qwen2.5,Qwen/Qwen2.5-72B-Instruct,dan,0.4247255749267372,0.3110715194706032,1.3653631025095323,100,8551,20133,6111,19645
vllm/Qwen/Qwen2.5-72B-Instruct,Qwen2.5-72B-Instruct,Qwen2.5,Qwen/Qwen2.5-72B-Instruct,nob,0.4228127350213086,0.3110715194706032,1.3592139059881538,100,8433,19945,6111,19645
vllm/Qwen/Qwen2.5-72B-Instruct,Qwen2.5-72B-Instruct,Qwen2.5,Qwen/Qwen2.5-72B-Instruct,isl,0.5450484341201919,0.3110715194706032,1.7521643737998969,100,11591,21266,6111,19645
vllm/Qwen/Qwen2.5-72B-Instruct,Qwen2.5-72B-Instruct,Qwen2.5,Qwen/Qwen2.5-72B-Instruct,ara,0.5197614136796923,0.3110715194706032,1.6708743203628793,100,9324,17939,6111,19645
vllm/Qwen/Qwen2.5-72B-Instruct,Qwen2.5-72B-Instruct,Qwen2.5,Qwen/Qwen2.5-72B-Instruct,est,0.4884087994475683,0.3110715194706032,1.5700852340283882,100,9902,20274,6111,19645
vllm/Qwen/Qwen2.5-72B-Instruct,Qwen2.5-72B-Instruct,Qwen2.5,Qwen/Qwen2.5-72B-Instruct,hin,1.1958312405826217,0.3110715194706032,3.844232485885388,100,23809,19910,6111,19645
vllm/Qwen/Qwen2.5-72B-Instruct,Qwen2.5-72B-Instruct,Qwen2.5,Qwen/Qwen2.5-72B-Instruct,jpn,0.7281824738550307,0.3110715194706032,2.340884421352001,100,8077,11092,6111,19645
vllm/Qwen/Qwen2.5-72B-Instruct,Qwen2.5-72B-Instruct,Qwen2.5,Qwen/Qwen2.5-72B-Instruct,mar,1.1631330432367373,0.3110715194706032,3.7391177604951245,100,25126,21602,6111,19645
vllm/Qwen/Qwen2.5-72B-Instruct,Qwen2.5-72B-Instruct,Qwen2.5,Qwen/Qwen2.5-72B-Instruct,nld,0.39352324394543936,0.3110715194706032,1.2650571309618976,100,8482,21554,6111,19645
